Respondent,Hobbyist,Age,CompFreq,CompTotal,Country,CurrencySymbol,EdLevel,Employment,JobSat,NEWDevOps,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWStuck,OrgSize,PlatformDesireNextYear,Gender,UndergradMajor
26726.0,Yes,37.0,Monthly,3500000.0,Costa Rica,CRC,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,,No,No,Yes,Visit Stack Overflow;Watch help / tutorial videos,500 to 999 employees,Android;Arduino;AWS;Raspberry Pi,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
26741.0,Yes,26.0,Monthly,3000.0,Belgium,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,Not sure,No,No,Visit Stack Overflow,2 to 9 employees,Docker;Linux;Microsoft Azure,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
26776.0,Yes,24.0,Monthly,48000000.0,Iran,IRR,"Associate degree (A.A., A.S., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Not sure,No,Yes,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,500 to 999 employees,,Woman,"Computer science, computer engineering, or software engineering"
26785.0,No,32.0,Yearly,42500.0,Slovenia,EUR,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Once every few years,No,No,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,500 to 999 employees,Linux;Microsoft Azure;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
26787.0,Yes,23.0,Yearly,700000.0,India,INR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,"10,000 or more employees",AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
26805.0,,31.0,Monthly,220000.0,Russian Federation,RUB,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Slightly dissatisfied,Yes,Once a year,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Visit another developer community (please name):,100 to 499 employees,Docker;Kubernetes;Windows,Man,"Information systems, information technology, or system administration"
26827.0,Yes,28.0,Yearly,85000.0,Australia,AUD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,Yes,No,No,,10 to 19 employees,AWS;Docker;Kubernetes;MacOS,Man,"Information systems, information technology, or system administration"
26834.0,,26.0,Monthly,9000.0,Georgia,GEL,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,Yes,Every few months,Yes,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,Android;iOS;Kubernetes,Woman,"Computer science, computer engineering, or software engineering"
26842.0,Yes,28.0,Monthly,4500000.0,Iran,IRR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos,10 to 19 employees,Docker;Heroku;Kubernetes;Linux;Windows,Woman,"Computer science, computer engineering, or software engineering"
26879.0,Yes,24.0,Yearly,1200000.0,India,INR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,Yes,No,Yes,Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Kubernetes;Linux;WordPress,Woman,"Computer science, computer engineering, or software engineering"
26905.0,Yes,30.0,Yearly,62000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Every few months,No,No,Yes,Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"1,000 to 4,999 employees",Docker;Linux;MacOS,Woman,"Computer science, computer engineering, or software engineering"
26915.0,Yes,24.0,Monthly,9000.0,Poland,PLN,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed part-time,Very satisfied,No,,Yes,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Docker,Man,"Computer science, computer engineering, or software engineering"
26966.0,Yes,,Monthly,60000.0,Pakistan,PKR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,No,No,Yes,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,AWS;Docker,Man,"Computer science, computer engineering, or software engineering"
26998.0,Yes,37.0,Yearly,30000.0,Spain,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,Yes,No,Visit Stack Overflow,20 to 99 employees,Docker;Kubernetes;MacOS,Woman,"Computer science, computer engineering, or software engineering"
27029.0,,26.0,Yearly,51000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,Yes,Every few months,Not sure,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;MacOS;Slack Apps and Integrations;Windows;WordPress,Woman,"Computer science, computer engineering, or software engineering"
27044.0,,20.0,Yearly,56000.0,Switzerland,CHF,"Associate degree (A.A., A.S., etc.)",Employed full-time,Very satisfied,Yes,Every few months,No,Yes,No,Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,"5,000 to 9,999 employees",Docker;Kubernetes;Linux;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
27068.0,Yes,24.0,Monthly,100000.0,Sri Lanka,LKR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Yes,No,Yes,Visit Stack Overflow;Panic;Watch help / tutorial videos;Visit another developer community (please name):,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Woman,"Information systems, information technology, or system administration"
27085.0,Yes,32.0,Monthly,3000.0,Ukraine,USD,Some college/university study without earning a degree,Employed full-time,Slightly dissatisfied,No,Once a year,Not sure,No,No,,"10,000 or more employees",Android;Linux,Woman,"Computer science, computer engineering, or software engineering"
27099.0,Yes,26.0,Monthly,5000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once every few years,No,Yes,Yes,Call a coworker or friend;Watch help / tutorial videos,"1,000 to 4,999 employees",Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Slack Apps and Integrations,Woman,"Computer science, computer engineering, or software engineering"
27148.0,Yes,22.0,Monthly,1900.0,Slovenia,EUR,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,No,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Arduino;Docker;Linux;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27158.0,Yes,41.0,Monthly,4000.0,Netherlands,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Not sure,Yes,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations;WordPress,Woman,"Computer science, computer engineering, or software engineering"
27182.0,Yes,36.0,Yearly,1000000.0,Norway,NOK,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,2 to 9 employees,Docker;Linux,Man,"Computer science, computer engineering, or software engineering"
27189.0,No,30.0,Monthly,1200.0,Iran,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,Yes,No,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,AWS;Linux;Microsoft Azure,Man,"Computer science, computer engineering, or software engineering"
27195.0,Yes,48.0,Yearly,105000.0,Australia,AUD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,Yes,No,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,"10,000 or more employees",AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS;WordPress,Woman,"Computer science, computer engineering, or software engineering"
27213.0,Yes,27.0,Monthly,800.0,Syrian Arab Republic,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Yes,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity,10 to 19 employees,Docker,Man,"Computer science, computer engineering, or software engineering"
27240.0,Yes,53.0,Monthly,75000.0,Spain,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,"10,000 or more employees",AWS;Docker;Kubernetes,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
27278.0,Yes,25.0,Yearly,48000.0,Netherlands,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,,No,No,Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos,2 to 9 employees,Linux;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
27295.0,Yes,31.0,Yearly,116000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Very satisfied,No,Every few months,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,"1,000 to 4,999 employees",Docker;Kubernetes;Linux,Woman,Mathematics or statistics
27304.0,No,37.0,Monthly,4300.0,Netherlands,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,,No,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"10,000 or more employees",AWS;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
27318.0,Yes,40.0,Yearly,130000.0,Nepal,NPR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,No,Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,100 to 499 employees,AWS;Docker;Kubernetes;Linux;MacOS,Man,"Computer science, computer engineering, or software engineering"
27327.0,Yes,25.0,Yearly,30000000.0,South Korea,KRW,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Once a year,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):,20 to 99 employees,Android;Arduino;Docker;Kubernetes;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27350.0,Yes,28.0,Yearly,128000.0,Australia,AUD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once every few years,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",Windows,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
27353.0,Yes,23.0,Yearly,360000.0,India,INR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Yes,No,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,10 to 19 employees,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows;WordPress,Man,"Computer science, computer engineering, or software engineering"
27369.0,Yes,44.0,Monthly,28000.0,Brazil,BRL,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,No,Yes,Visit Stack Overflow,"1,000 to 4,999 employees",Android;Arduino;Google Cloud Platform;iOS;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27410.0,Yes,56.0,Yearly,95000.0,Netherlands,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Docker;Google Cloud Platform;Kubernetes;Windows,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
27411.0,Yes,39.0,Yearly,42000.0,Finland,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,,Every few months,Yes,No,No,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"10,000 or more employees",Android;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
27427.0,Yes,30.0,Yearly,85000.0,Germany,EUR,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Once a year,Not sure,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity,"10,000 or more employees",Arduino;Docker;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27496.0,No,43.0,Yearly,51500.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,No,Yes,No,Visit Stack Overflow;Do other work and come back later,"1,000 to 4,999 employees",Microsoft Azure;Windows,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
27538.0,,29.0,Monthly,3900.0,Netherlands,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,AWS;Docker,Man,Web development or web design
27577.0,Yes,35.0,Yearly,100000.0,Germany,EUR,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,Every few months,No,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Visit another developer community (please name):,10 to 19 employees,,Man,"Computer science, computer engineering, or software engineering"
27580.0,Yes,28.0,Yearly,130000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Every few months,No,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Android;Docker;Google Cloud Platform;Heroku;Linux;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
27590.0,Yes,36.0,Yearly,75000.0,Germany,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,"10,000 or more employees",Arduino;Docker;Kubernetes;Linux;MacOS;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
27595.0,Yes,46.0,Monthly,61000.0,Denmark,DKK,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,No,No,Play games;Visit Stack Overflow;Do other work and come back later,500 to 999 employees,AWS;Docker;Kubernetes;Linux;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
27598.0,Yes,36.0,Yearly,105000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,,Not sure,Yes,Yes,Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,MacOS;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27648.0,No,29.0,Monthly,200000000.0,Iran,IRR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Not sure,No,Yes,Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
27678.0,No,27.0,Yearly,60000.0,Brazil,BRL,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,,Once a year,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,Microsoft Azure;Slack Apps and Integrations;Windows,Woman,"Computer science, computer engineering, or software engineering"
27679.0,Yes,28.0,Yearly,69000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Slightly satisfied,No,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"5,000 to 9,999 employees",Docker;Linux;Microsoft Azure,Man,"Information systems, information technology, or system administration"
27691.0,Yes,41.0,Yearly,80000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once every few years,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,"10,000 or more employees",AWS;Docker;Linux;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
27709.0,Yes,35.0,Yearly,180000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,,Yes,No,Yes,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later;Visit another developer community (please name):,"1,000 to 4,999 employees",Android;Microsoft Azure,Man,"Computer science, computer engineering, or software engineering"
27720.0,Yes,26.0,Yearly,145000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once every few years,Yes,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,100 to 499 employees,Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
27725.0,Yes,37.0,Yearly,110000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,Once every few years,Not sure,Yes,Yes,,"1,000 to 4,999 employees",Linux;MacOS,Woman,Mathematics or statistics
27742.0,Yes,24.0,Yearly,600000.0,India,INR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,Yes,No,Visit Stack Overflow;Panic;Watch help / tutorial videos,"10,000 or more employees",Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations,Woman,"Computer science, computer engineering, or software engineering"
27762.0,Yes,29.0,Monthly,52000.0,Denmark,DKK,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,No,Once every few years,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,Docker;Microsoft Azure;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
27830.0,Yes,26.0,Yearly,75000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Not sure,No,Yes,Play games;Visit Stack Overflow;Panic;Watch help / tutorial videos,10 to 19 employees,Android;AWS;Docker;Google Cloud Platform;Windows,Man,"Computer science, computer engineering, or software engineering"
27844.0,Yes,38.0,Yearly,63000.0,France,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,,No,No,No,Visit Stack Overflow;Do other work and come back later,"10,000 or more employees",Android;Docker;iOS;Kubernetes;Linux;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
27858.0,Yes,25.0,Yearly,25000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,,Once every few years,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Panic,20 to 99 employees,Arduino;Docker;Linux;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
27908.0,Yes,29.0,Monthly,50000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Every few months,Yes,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,100 to 499 employees,Microsoft Azure,Man,"A natural science (such as biology, chemistry, physics, etc.)"
27960.0,Yes,39.0,Yearly,60000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,MacOS;Microsoft Azure,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
27968.0,Yes,45.0,Monthly,40000.0,Mexico,MXN,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Every few months,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,100 to 499 employees,Android;Arduino;AWS;Docker;Kubernetes;Linux;Microsoft Azure;WordPress,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
27975.0,Yes,24.0,Yearly,95000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,Not sure,Every few months,,No,No,Visit Stack Overflow;Go for a walk or other physical activity,"5,000 to 9,999 employees",Google Cloud Platform,Man,"Computer science, computer engineering, or software engineering"
28045.0,No,48.0,Yearly,50000.0,Spain,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly dissatisfied,Yes,Once a decade,Yes,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,Docker;Kubernetes;Linux,Man,"A natural science (such as biology, chemistry, physics, etc.)"
28087.0,Yes,27.0,Monthly,1700.0,Tunisia,TND,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,"1,000 to 4,999 employees",Arduino;Linux;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
28095.0,No,28.0,Yearly,600000.0,Egypt,EGP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Once every few years,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,20 to 99 employees,Microsoft Azure,Man,"Computer science, computer engineering, or software engineering"
28100.0,Yes,35.0,Monthly,1000000.0,Hungary,HUF,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,Not sure,No,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",Docker;Linux,Woman,"Computer science, computer engineering, or software engineering"
28108.0,No,35.0,Yearly,135000.0,Canada,CAD,"Associate degree (A.A., A.S., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,Not sure,No,No,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Microsoft Azure;Windows,Man,Web development or web design
28137.0,Yes,28.0,Monthly,35000.0,Israel,ILS,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,,Every few months,Not sure,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,"1,000 to 4,999 employees",Android;Docker;Heroku;iOS;Kubernetes;MacOS,Woman,"Computer science, computer engineering, or software engineering"
28144.0,Yes,26.0,Yearly,67200.0,Austria,EUR,"Associate degree (A.A., A.S., etc.)",Employed full-time,Very satisfied,Yes,Every few months,Yes,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,Woman,"Computer science, computer engineering, or software engineering"
28155.0,No,35.0,Yearly,55000.0,France,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Neither satisfied nor dissatisfied,Yes,Once a year,Not sure,Yes,No,,20 to 99 employees,Arduino;AWS;Docker;Heroku;iOS;Kubernetes;Linux;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
28162.0,Yes,47.0,Yearly,113000.0,Netherlands,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very dissatisfied,Yes,Once a year,Yes,No,No,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"10,000 or more employees",Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi,Woman,"A humanities discipline (such as literature, history, philosophy, etc.)"
28173.0,Yes,37.0,Yearly,68400.0,Austria,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Not sure,Every few months,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,10 to 19 employees,Docker;Google Cloud Platform;Linux,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
28185.0,Yes,26.0,Yearly,50000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,10 to 19 employees,Arduino;AWS;Docker;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
28189.0,Yes,25.0,Yearly,90000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,"10,000 or more employees",Docker;Linux;Windows,Man,"Computer science, computer engineering, or software engineering"
28216.0,Yes,39.0,Monthly,9000.0,Argentina,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Yes,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,10 to 19 employees,AWS;Kubernetes,Woman,"Computer science, computer engineering, or software engineering"
28260.0,Yes,58.0,Monthly,55000.0,Sweden,SEK,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once every few years,Yes,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"10,000 or more employees",Linux;Windows,Man,Mathematics or statistics
